iter	Logloss
0	0.6868060272
1	0.6811554359
2	0.6759081397
3	0.6711818357
4	0.6669817254
5	0.6631194468
6	0.6597029563
7	0.6568312546
8	0.6542771772
9	0.6517418847
10	0.6497521102
11	0.6476992886
12	0.6457966522
13	0.6440802257
14	0.6425324487
15	0.6412577569
16	0.6399629788
17	0.6387376415
18	0.6376507097
19	0.6366497283
20	0.6357598727
21	0.6349795393
22	0.6341105689
23	0.6334631129
24	0.6327512462
25	0.6321929778
26	0.6316049291
27	0.6311318956
28	0.6305375063
29	0.6300850411
30	0.6295726039
31	0.6292431533
32	0.6289101411
33	0.6283511691
34	0.6279401273
35	0.6275600863
36	0.6273827605
37	0.6270987879
38	0.6268448928
39	0.6265281814
40	0.6262314833
41	0.6258274787
42	0.6254225791
43	0.6251549502
44	0.6249183003
45	0.6246719875
46	0.624325305
47	0.6239864114
48	0.6237768487
49	0.6235794683
50	0.6233607733
51	0.6232073125
52	0.6230028503
53	0.622805943
54	0.622657662
55	0.6225234023
56	0.6223682414
57	0.6222485672
58	0.6220178983
59	0.6219264273
60	0.6218153811
61	0.6217198055
62	0.6216182891
63	0.6215238728
64	0.6214296883
65	0.621291289
66	0.6211494087
67	0.620987654
68	0.6209371295
69	0.6208325012
70	0.6207399013
71	0.6206688987
72	0.6205830447
73	0.6205177919
74	0.620417665
75	0.6202843369
76	0.6202154123
77	0.6201623997
78	0.6201044262
79	0.6199416989
80	0.619848257
81	0.6197513246
82	0.6197330102
83	0.619678734
84	0.6194652913
85	0.619415851
86	0.6193496081
87	0.6192658567
88	0.6192030554
89	0.6191043238
90	0.6190520787
91	0.6189156108
92	0.6188388249
93	0.6187924588
94	0.6187484803
95	0.6186995757
96	0.6186261
97	0.6184929045
98	0.618390332
99	0.6183576877
100	0.6183089647
101	0.6182191061
102	0.6181723562
103	0.6178418187
104	0.6175731044
105	0.6174918635
106	0.6174576701
107	0.6173954766
108	0.6173328041
109	0.6172478412
110	0.6171342683
111	0.6170741104
112	0.6170618532
113	0.617011796
114	0.616778323
115	0.616672524
116	0.616650557
117	0.6166167032
118	0.6164895821
119	0.6161453002
120	0.61611999
121	0.6160574563
122	0.61602582
123	0.6159724818
124	0.6159486515
125	0.6159322467
126	0.6159246825
127	0.6158821785
128	0.6158653699
129	0.6158395163
130	0.6157610541
131	0.6157321688
132	0.6156756263
133	0.6156264507
134	0.615582425
135	0.6155468483
136	0.6154654917
137	0.6154654335
138	0.615442315
139	0.6154422593
140	0.6152184502
141	0.6152036597
142	0.6151781147
143	0.6151423042
144	0.6150919837
145	0.6150122485
146	0.614938023
147	0.6149025394
148	0.614690843
149	0.6146032135
150	0.6145458691
151	0.6143370588
152	0.6142569057
153	0.6141830534
154	0.6141204796
155	0.6140448564
156	0.6140230177
157	0.6140113311
158	0.6139485915
159	0.6138790987
160	0.6135017516
161	0.6134470057
162	0.6134470057
163	0.6134262645
164	0.6133636713
165	0.6132540237
166	0.6132094069
167	0.6129302042
168	0.6129025139
169	0.6129025109
170	0.6128802516
171	0.612609446
172	0.6125589299
173	0.6124986643
174	0.6124924732
175	0.6124416645
176	0.6124022939
177	0.6123981815
178	0.6123120139
179	0.6122813842
180	0.6121977428
181	0.6121771155
182	0.6120113997
183	0.6119391673
184	0.6119132999
185	0.6118859268
186	0.611833377
187	0.6117381446
188	0.6117022453
189	0.611571901
190	0.6115205832
191	0.6113623217
192	0.6113414352
193	0.6112978904
194	0.6112849311
195	0.6112283146
196	0.6109771711
197	0.6109488549
198	0.6107983345
199	0.6107323469
