iter	Passed	Remaining
0	67	13389
1	144	14317
2	227	14932
3	302	14808
4	374	14623
5	453	14678
6	529	14604
7	577	13849
8	646	13724
9	728	13833
10	802	13785
11	880	13788
12	954	13736
13	1002	13318
14	1074	13250
15	1150	13226
16	1226	13199
17	1296	13109
18	1368	13040
19	1447	13023
20	1525	13006
21	1607	13008
22	1690	13010
23	1762	12922
24	1839	12878
25	1913	12803
26	1996	12792
27	2072	12729
28	2145	12653
29	2222	12594
30	2303	12555
31	2369	12441
32	2449	12395
33	2533	12370
34	2608	12298
35	2691	12259
36	2772	12215
37	2851	12156
38	2927	12086
39	3005	12020
40	3083	11958
41	3161	11892
42	3244	11845
43	3337	11833
44	3419	11777
45	3527	11810
46	3631	11821
47	3722	11788
48	3788	11673
49	3861	11585
50	3938	11507
51	4016	11431
52	4092	11350
53	4175	11288
54	4250	11205
55	4327	11126
56	4395	11027
57	4470	10944
58	4547	10867
59	4624	10789
60	4704	10720
61	4794	10671
62	4899	10653
63	4978	10580
64	5072	10535
65	5149	10455
66	5229	10380
67	5314	10317
68	5400	10252
69	5482	10182
70	5555	10092
71	5639	10025
72	5723	9956
73	5819	9909
74	5904	9840
75	5985	9765
76	6063	9685
77	6141	9605
78	6221	9529
79	6303	9454
80	6377	9369
81	6462	9300
82	6542	9222
83	6620	9143
84	6702	9067
85	6781	8990
86	6863	8914
87	6904	8787
88	6985	8712
89	7064	8634
90	7151	8565
91	7237	8496
92	7324	8426
93	7409	8355
94	7489	8277
95	7567	8197
96	7654	8128
97	7738	8054
98	7818	7975
99	7906	7906
100	7994	7836
101	8073	7756
102	8156	7681
103	8239	7605
104	8333	7539
105	8415	7462
106	8492	7381
107	8577	7306
108	8667	7235
109	8754	7162
110	8837	7085
111	8920	7009
112	9008	6935
113	9090	6857
114	9172	6779
115	9255	6701
116	9308	6603
117	9393	6527
118	9475	6450
119	9553	6369
120	9638	6292
121	9721	6215
122	9805	6138
123	9890	6061
124	9978	5987
125	10061	5909
126	10150	5834
127	10235	5757
128	10320	5680
129	10397	5598
130	10479	5519
131	10566	5443
132	10644	5362
133	10719	5279
134	10801	5200
135	10887	5123
136	10973	5046
137	11053	4966
138	11132	4885
139	11214	4806
140	11296	4727
141	11377	4647
142	11456	4566
143	11529	4483
144	11613	4405
145	11704	4329
146	11790	4250
147	11869	4170
148	11956	4092
149	12044	4014
150	12128	3935
151	12211	3856
152	12297	3777
153	12388	3700
154	12483	3624
155	12561	3543
156	12646	3463
157	12727	3383
158	12808	3302
159	12888	3222
160	12971	3142
161	13057	3062
162	13148	2984
163	13240	2906
164	13319	2825
165	13404	2745
166	13490	2665
167	13577	2586
168	13657	2505
169	13745	2425
170	13830	2345
171	13893	2261
172	13989	2183
173	14073	2102
174	14159	2022
175	14243	1942
176	14324	1861
177	14408	1780
178	14493	1700
179	14580	1620
180	14663	1539
181	14755	1459
182	14834	1378
183	14926	1297
184	15009	1217
185	15091	1135
186	15174	1054
187	15254	973
188	15330	892
189	15415	811
190	15475	729
191	15557	648
192	15642	567
193	15729	486
194	15814	405
195	15896	324
196	15987	243
197	16078	162
198	16171	81
199	16263	0
