iter	F1	Logloss
0	0.4735888922	0.6873647376
1	0.5240883892	0.6830520814
2	0.5173044825	0.6789547707
3	0.5135864602	0.6759180442
4	0.5081953812	0.6734334197
5	0.5115711555	0.6709089081
6	0.5118469941	0.6693953719
7	0.5155342156	0.6673316979
8	0.5163256246	0.6662373844
9	0.5188563621	0.6650499039
10	0.5202509068	0.6639362517
11	0.5262068691	0.6628437607
12	0.5307503562	0.6614610609
13	0.52783858	0.6606715193
14	0.5278530443	0.6602034366
15	0.5261624426	0.6597881953
16	0.5280133795	0.6589375592
17	0.528298884	0.658401587
18	0.5293157664	0.6578726913
19	0.5298682692	0.6573467239
20	0.5315635742	0.6568509419
21	0.5323889451	0.6564971485
22	0.5329394738	0.6561850045
23	0.5324523285	0.6559685867
24	0.5319867997	0.6555786333
25	0.53204848	0.6553529789
26	0.5326792843	0.6551949142
27	0.5342104742	0.6547958228
28	0.5348731256	0.6542397621
29	0.5363015732	0.6538768243
30	0.5374250608	0.6534648112
31	0.5370989768	0.6532252239
32	0.5378912197	0.6530158407
33	0.5383565708	0.6528590227
34	0.5379681685	0.6526787023
35	0.5391263077	0.6525165528
36	0.5396222684	0.6523830442
37	0.5393929801	0.6523011212
38	0.5406398104	0.6521269428
39	0.5405170541	0.6519899065
40	0.5405672302	0.651848094
41	0.5406729762	0.6510996278
42	0.5417316	0.6509056141
43	0.5419270885	0.6507944559
44	0.5419484591	0.6507927707
45	0.5432453722	0.6505351688
46	0.5442741634	0.6499471578
47	0.5443207302	0.6498823492
48	0.5442522288	0.6497552862
49	0.5446855389	0.6496596823
50	0.5450504494	0.6495570017
51	0.5452292928	0.6495184724
52	0.5458227649	0.6493047088
53	0.5464118028	0.6492286998
54	0.5468332548	0.6491712672
55	0.5469544892	0.6490278353
56	0.5472468777	0.6488435991
57	0.5487697285	0.6484039641
58	0.5498825372	0.6482750935
59	0.5497023343	0.6482000781
60	0.5497316567	0.6481520979
61	0.5496808052	0.6479983266
62	0.5496045729	0.6479005068
63	0.5502993309	0.6478316584
64	0.5501164589	0.6477019913
65	0.5502691066	0.647657015
66	0.5504177837	0.6475873803
67	0.5503991235	0.6475572467
68	0.5512414467	0.6472109509
69	0.5514424205	0.6471444378
70	0.5515206004	0.6470725899
71	0.5514638296	0.6469888971
72	0.5516486095	0.6469514658
73	0.5517079561	0.6469037295
74	0.5517403115	0.6468531602
75	0.551729529	0.646833872
76	0.5518171688	0.6467828895
77	0.5519425923	0.6467336892
78	0.5518199065	0.6466621217
79	0.551896754	0.6466333399
80	0.5521918424	0.646599267
81	0.5523373984	0.6465140823
82	0.5528372675	0.6463839187
83	0.5531308	0.6462870222
84	0.5535703825	0.6462578709
85	0.5535404018	0.6461590003
86	0.5533667832	0.6461498366
87	0.5532338697	0.6461109284
88	0.5536376772	0.6460602211
89	0.5544086945	0.6455669159
90	0.5544585366	0.645557061
91	0.5547969256	0.6454905931
92	0.5547559144	0.6454549876
93	0.5549554468	0.6454264434
94	0.5550160866	0.6453093021
95	0.5549619809	0.645295808
96	0.5550507906	0.6452847384
97	0.5550356767	0.6452400444
98	0.5552544884	0.6451841156
99	0.5551353038	0.6451261627
100	0.5556530385	0.6445865984
101	0.5555555556	0.6445289971
102	0.5562508529	0.6443341323
103	0.5561165806	0.6442949809
104	0.556081779	0.6442609177
105	0.556146814	0.6442326887
106	0.5563264988	0.6440671027
107	0.5562875185	0.6440608144
108	0.5570172874	0.6436785918
109	0.5572422394	0.6436250104
110	0.5572920726	0.6436128151
111	0.5574000468	0.6432266486
112	0.5573764103	0.6431922451
113	0.5579618331	0.6428616469
114	0.5582591416	0.6426639277
115	0.5584476309	0.6426364881
116	0.5587347344	0.642462732
117	0.5590664693	0.6423250358
118	0.5587214968	0.6422178783
119	0.5585764681	0.6421905999
120	0.5587576236	0.6421465475
121	0.558734118	0.6420465554
122	0.5591075461	0.6418922977
123	0.5592616391	0.6418362693
124	0.5595064323	0.6416950801
125	0.5595935608	0.6415691453
126	0.5593507328	0.6415005999
127	0.5599906629	0.6413192245
128	0.559886357	0.6412710859
129	0.5611359658	0.64080349
130	0.5607611191	0.6407649967
131	0.5607454818	0.6407084901
132	0.5608669429	0.6406207915
133	0.5612725081	0.6405690704
134	0.5616286531	0.6402351269
135	0.5617199953	0.6401097078
136	0.561689385	0.6399911203
137	0.5618012483	0.6398803746
138	0.561900873	0.6398541979
139	0.5618292114	0.6398399218
140	0.5620406735	0.6398099685
141	0.5625206523	0.639681841
142	0.5626749611	0.63959855
143	0.5624198126	0.6395311674
144	0.562653085	0.639435643
145	0.5624331525	0.6393518085
146	0.5630090388	0.6392244084
147	0.5630867917	0.6392070066
148	0.5637936061	0.6389538088
149	0.5637936061	0.638945147
150	0.5637158682	0.6389106813
151	0.5637836893	0.6389016375
152	0.5638773369	0.6388192602
153	0.5639391407	0.6387588923
154	0.5637748164	0.6386247795
155	0.5644979608	0.6384896631
156	0.5648484378	0.6381324141
157	0.5653220484	0.6377663803
158	0.5653009336	0.63771001
159	0.5653870799	0.6374658675
160	0.5661036692	0.6371117968
161	0.5663005937	0.6367225456
162	0.5665657507	0.6366003869
163	0.5664692748	0.6364946445
164	0.5662692711	0.6364688504
165	0.566669902	0.636430252
166	0.566886646	0.6363285203
167	0.5671763428	0.6361533813
168	0.5670599193	0.6361204165
169	0.5669875029	0.6360075943
170	0.5672765371	0.6359355789
171	0.5672429517	0.6359090406
172	0.5674716322	0.6357335091
173	0.567643579	0.6357016527
174	0.5678327645	0.6356622061
175	0.5678772954	0.6355987868
176	0.5678772954	0.6355960108
177	0.5678437761	0.6355812528
178	0.5677824755	0.6355329861
179	0.5681831398	0.6352384219
180	0.5687334147	0.6350258103
181	0.5687664652	0.6350056369
182	0.5690546743	0.6349530563
183	0.569027611	0.6348943942
184	0.5697413259	0.6346873346
185	0.5697246641	0.6346716023
186	0.5699297315	0.6346049568
187	0.5700238091	0.6344734734
188	0.5702672886	0.6343655997
189	0.5707212347	0.6341455315
190	0.5707322734	0.6341013431
191	0.5707931228	0.634087095
192	0.5708980484	0.6339501054
193	0.5710251997	0.6338817074
194	0.5709643099	0.6338171377
195	0.5709202027	0.6337497577
196	0.5709036762	0.6336608149
197	0.5711799513	0.6336385976
198	0.5716329885	0.6335779733
199	0.5716827165	0.6335651272
200	0.5716495842	0.6335170592
201	0.5713898987	0.6332968226
202	0.5715390116	0.6332156167
203	0.571478281	0.6331839699
204	0.5715777262	0.6331253008
205	0.5715059169	0.6330926863
206	0.5716384727	0.6330650911
207	0.5719255523	0.6329621658
208	0.5721130625	0.6328788493
209	0.572124022	0.6328641981
210	0.5721571809	0.6328551567
211	0.5722730961	0.6328274667
212	0.5726097792	0.6327904788
213	0.5725822032	0.632707748
214	0.5731170336	0.6326281711
215	0.5732988337	0.6324801297
216	0.5733979495	0.6324476987
217	0.5734916498	0.6323971112
218	0.5733920161	0.6322963836
219	0.5732931727	0.6322326873
220	0.5733758085	0.6321964114
221	0.5736781166	0.631967287
222	0.5735904414	0.6319368383
223	0.5739818568	0.6318722643
224	0.5738777874	0.6317619858
225	0.5743777735	0.6316509843
226	0.574504621	0.6316168205
227	0.5744438656	0.6314595785
228	0.5746080114	0.6313263555
229	0.5747454489	0.6313051748
230	0.574910809	0.6312669936
231	0.5746957981	0.6312079438
