iter	Passed	Remaining
0	132	132576
1	286	143014
2	412	137127
3	547	136257
4	677	134817
5	823	136351
6	959	136050
7	1083	134387
8	1221	134493
9	1353	133968
10	1481	133209
11	1609	132511
12	1742	132287
13	1869	131698
14	1993	130898
15	2119	130360
16	2246	129883
17	2314	126284
18	2371	122468
19	2544	124672
20	2671	124559
21	2800	124500
22	2939	124854
23	3068	124797
24	3195	124614
25	3323	124517
26	3450	124355
27	3575	124122
28	3707	124144
29	3832	123908
30	3959	123762
31	4043	122306
32	4174	122316
33	4304	122306
34	4436	122310
35	4561	122149
36	4690	122090
37	4819	122005
38	4946	121881
39	5069	121667
40	5197	121566
41	5319	121336
42	5372	119560
43	5491	119314
44	5613	119136
45	5741	119076
46	5871	119047
47	5986	118734
48	6106	118507
49	6225	118287
50	6346	118101
51	6470	117964
52	6530	116693
53	6657	116632
54	6783	116559
55	6908	116457
56	7025	116229
57	7147	116077
58	7273	116003
59	7402	115975
60	7524	115831
61	7650	115744
62	7776	115659
63	7898	115512
64	8020	115378
65	8149	115325
66	8272	115191
67	8395	115061
68	8524	115014
69	8649	114920
70	8783	114923
71	8848	114051
72	8976	113995
73	9100	113882
74	9220	113715
75	9352	113711
76	9477	113609
77	9607	113564
78	9729	113428
79	9858	113374
80	9918	112528
81	10040	112402
82	10170	112365
83	10300	112319
84	10424	112220
85	10548	112113
86	10618	111437
87	10752	111439
88	10879	111361
89	11005	111277
90	11132	111203
91	11267	111203
92	11388	111067
93	11522	111061
94	11653	111018
95	11796	111082
96	11922	110985
97	12050	110913
98	12179	110843
99	12302	110724
100	12435	110688
101	12575	110711
102	12700	110606
103	12832	110559
104	12953	110412
105	13076	110288
106	13197	110145
107	13322	110036
108	13447	109921
109	13560	109720
110	13685	109607
111	13814	109526
112	13873	108900
113	14000	108813
114	14126	108716
115	14256	108643
116	14383	108549
117	14509	108455
118	14641	108392
119	14770	108318
120	14897	108219
121	15023	108122
122	15149	108014
123	15272	107890
124	15399	107797
125	15528	107713
126	15652	107597
127	15777	107487
128	15902	107375
129	16024	107242
130	16151	107139
131	16272	107004
132	16398	106897
133	16526	106808
134	16657	106732
135	16788	106653
136	16912	106538
137	17040	106444
138	17158	106286
139	17284	106174
140	17413	106085
141	17536	105957
142	17665	105867
143	17791	105761
144	17924	105693
145	18049	105575
146	18176	105474
147	18305	105382
148	18433	105278
149	18559	105171
150	18680	105030
151	18803	104901
152	18926	104778
153	19061	104715
154	19184	104586
155	19317	104512
156	19446	104416
157	19572	104302
158	19698	104190
159	19823	104072
160	19946	103944
161	20074	103843
162	20198	103720
163	20323	103600
164	20449	103487
165	20575	103371
166	20703	103269
167	20834	103178
168	20962	103074
169	21087	102956
170	21208	102819
171	21340	102732
172	21469	102631
173	21594	102511
174	21719	102393
175	21845	102277
176	21970	102154
177	22100	102061
178	22230	101961
179	22359	101859
180	22485	101745
181	22614	101641
182	22750	101570
183	22870	101424
184	22996	101308
185	23132	101233
186	23264	101144
187	23389	101023
188	23518	100919
189	23640	100784
190	23768	100675
191	23890	100540
192	24011	100401
193	24139	100292
194	24265	100172
195	24395	100071
196	24523	99959
197	24640	99806
198	24768	99694
199	24889	99559
200	25021	99465
201	25148	99350
202	25272	99220
203	25394	99090
204	25515	98951
205	25644	98844
206	25778	98756
207	25903	98632
208	26025	98497
209	26146	98360
210	26271	98238
211	26403	98142
212	26530	98024
213	26646	97870
214	26771	97747
215	26888	97595
216	27013	97471
217	27136	97341
218	27269	97248
219	27391	97113
220	27519	97001
221	27639	96861
222	27758	96718
223	27882	96592
224	28013	96491
225	28135	96359
226	28267	96260
227	28398	96156
228	28519	96018
229	28640	95883
230	28770	95777
231	28893	95646
232	29024	95544
233	29148	95417
234	29277	95307
235	29401	95179
236	29527	95061
237	29642	94905
238	29767	94782
239	29902	94690
240	30025	94562
241	30142	94411
242	30262	94275
243	30385	94145
244	30504	94004
245	30631	93886
246	30755	93762
247	30889	93663
248	31011	93531
249	31138	93414
250	31265	93297
251	31396	93194
252	31522	93072
253	31647	92949
254	31778	92843
255	31908	92735
256	32029	92600
257	32142	92440
258	32261	92300
259	32389	92185
260	32511	92053
261	32629	91911
262	32757	91796
263	32886	91682
264	33015	91572
265	33139	91443
266	33262	91317
267	33379	91172
268	33508	91057
269	33627	90918
270	33749	90787
271	33879	90677
272	34006	90560
273	34131	90436
274	34251	90300
275	34381	90188
276	34509	90072
277	34622	89919
278	34741	89778
279	34859	89639
280	34970	89479
281	35093	89352
282	35214	89217
283	35331	89075
284	35451	88940
285	35584	88837
286	35708	88711
287	35839	88602
288	35965	88483
289	36093	88367
290	36224	88257
291	36349	88135
292	36482	88030
293	36611	87917
294	36743	87809
295	36869	87688
296	36996	87570
297	37124	87455
298	37246	87324
299	37382	87224
300	37505	87098
301	37631	86976
302	37759	86859
303	37873	86711
304	38000	86591
305	38129	86476
306	38256	86356
307	38393	86261
308	38519	86139
309	38639	86004
310	38757	85865
311	38885	85748
312	39011	85626
313	39136	85502
314	39257	85370
315	39384	85250
316	39509	85126
317	39675	85091
318	39832	85034
319	39984	84966
320	40117	84859
321	40253	84757
322	40389	84655
323	40533	84570
324	40668	84466
325	40794	84341
326	40919	84217
327	41041	84084
328	41158	83943
329	41276	83804
330	41393	83663
331	41522	83545
332	41644	83413
333	41769	83288
334	41893	83162
335	42012	83025
336	42138	82901
337	42264	82778
338	42391	82656
339	42517	82534
340	42642	82408
341	42776	82300
342	42894	82162
343	43010	82020
344	43136	81896
345	43261	81771
346	43386	81645
347	43519	81537
348	43653	81428
349	43774	81296
350	43906	81184
351	44040	81074
352	44166	80951
353	44284	80813
354	44409	80687
355	44538	80569
356	44663	80444
357	44785	80313
358	44911	80190
359	45037	80066
360	45170	79956
361	45296	79832
362	45424	79712
363	45553	79594
364	45674	79460
365	45801	79339
366	45924	79211
367	46056	79096
368	46182	78973
369	46309	78851
370	46437	78731
371	46559	78600
372	46686	78478
373	46814	78358
374	46942	78237
375	47070	78116
376	47190	77983
377	47320	77866
378	47435	77723
379	47562	77601
380	47682	77468
381	47804	77338
382	47920	77198
383	48047	77076
384	48171	76948
385	48297	76826
386	48421	76698
387	48543	76567
388	48665	76438
389	48791	76315
390	48922	76199
391	49057	76089
392	49193	75980
393	49324	75864
394	49448	75737
395	49579	75620
396	49706	75498
397	49833	75376
398	49959	75252
399	50083	75124
400	50208	74999
401	50339	74883
402	50466	74761
403	50601	74649
404	50740	74544
405	50868	74423
406	51017	74333
407	51149	74216
408	51269	74084
409	51399	73965
410	51520	73832
411	51635	73692
412	51763	73571
413	51884	73440
414	52018	73327
415	52143	73201
416	52268	73076
417	52393	72949
418	52525	72834
419	52653	72712
420	52780	72589
421	52913	72474
422	53045	72356
423	53166	72226
424	53290	72099
425	53413	71969
426	53537	71842
427	53655	71708
428	53781	71583
429	53910	71462
430	54033	71333
431	54158	71208
432	54285	71085
433	54410	70958
434	54544	70844
435	54668	70718
436	54793	70592
437	54914	70460
438	55043	70340
439	55169	70215
440	55294	70089
441	55425	69971
442	55557	69854
443	55686	69733
444	55816	69613
445	55942	69489
446	56073	69370
447	56200	69247
448	56326	69121
449	56448	68992
450	56578	68872
451	56703	68746
452	56831	68624
453	56965	68509
454	57093	68386
455	57215	68257
456	57344	68135
457	57466	68006
458	57601	67892
459	57726	67765
460	57853	67642
461	57978	67516
462	58102	67388
463	58230	67266
464	58360	67145
465	58483	67017
466	58615	66899
467	58744	66777
468	58882	66667
469	59009	66542
470	59129	66410
471	59252	66282
472	59383	66163
473	59507	66035
474	59631	65908
475	59765	65792
476	59899	65676
477	60027	65553
478	60162	65437
479	60297	65321
480	60425	65198
481	60554	65077
482	60700	64972
483	60838	64861
484	60959	64729
485	61090	64610
486	61215	64483
487	61338	64355
488	61473	64239
489	61599	64113
490	61726	63989
491	61849	63861
492	61971	63731
493	62101	63610
494	62227	63484
495	62349	63355
496	62476	63231
497	62606	63109
498	62735	62986
499	62861	62861
500	62980	62729
501	63119	62616
502	63252	62498
503	63386	62380
504	63508	62250
505	63636	62127
506	63764	62003
507	63887	61875
508	64016	61752
509	64140	61625
510	64269	61502
511	64390	61372
512	64514	61245
513	64644	61123
514	64772	60999
515	64886	60862
516	65005	60730
517	65137	60610
518	65269	60490
519	65395	60365
520	65523	60241
521	65654	60120
522	65783	59997
523	65910	59872
524	66033	59744
525	66163	59622
526	66282	59490
527	66419	59374
528	66552	59255
529	66682	59133
530	66812	59011
531	66944	58890
532	67072	58766
533	67203	58646
534	67334	58524
535	67458	58397
536	67585	58272
537	67721	58155
538	67859	58039
539	67988	57916
540	68126	57800
541	68248	57671
542	68382	57552
543	68507	57425
544	68642	57307
545	68773	57185
546	68902	57062
547	69025	56933
548	69152	56808
549	69279	56682
550	69400	56553
551	69527	56427
552	69647	56297
553	69783	56179
554	69911	56055
555	70042	55933
556	70162	55802
557	70296	55683
558	70419	55554
559	70544	55428
560	70679	55308
561	70808	55185
562	70934	55059
563	71063	54935
564	71193	54812
565	71319	54686
566	71449	54563
567	71573	54436
568	71702	54312
569	71831	54188
570	71956	54061
571	72083	53936
572	72212	53812
573	72337	53685
574	72463	53560
575	72598	53440
576	72745	53329
577	72874	53205
578	72998	53078
579	73127	52954
580	73257	52831
581	73381	52703
582	73506	52577
583	73640	52456
584	73768	52331
585	73894	52205
586	74021	52080
587	74149	51955
588	74272	51827
589	74404	51704
590	74531	51579
591	74665	51458
592	74789	51331
593	74921	51209
594	75049	51084
595	75177	50959
596	75312	50838
597	75439	50713
598	75574	50593
599	75704	50469
600	75832	50344
601	75961	50220
602	76088	50094
603	76213	49967
604	76336	49839
605	76466	49715
606	76592	49589
607	76723	49466
608	76848	49339
609	76975	49213
610	77107	49091
611	77229	48962
612	77354	48835
613	77480	48709
614	77601	48579
615	77720	48449
616	77849	48324
617	77972	48196
618	78101	48072
619	78223	47943
620	78342	47812
621	78467	47685
622	78595	47560
623	78722	47435
624	78857	47314
625	78989	47191
626	79113	47064
627	79246	46942
628	79372	46815
629	79498	46689
630	79619	46560
631	79750	46436
632	79870	46307
633	79994	46179
634	80121	46054
635	80257	45933
636	80393	45812
637	80520	45687
638	80648	45561
639	80776	45436
640	80908	45313
641	81034	45187
642	81160	45061
643	81278	44930
644	81406	44804
645	81535	44680
646	81664	44555
647	81795	44431
648	81937	44314
649	82061	44187
650	82188	44060
651	82316	43935
652	82456	43816
653	82582	43690
654	82706	43563
655	82829	43434
656	82956	43308
657	83084	43183
658	83210	43057
659	83344	42935
660	83483	42815
661	83606	42687
662	83774	42582
663	83902	42456
664	84027	42329
665	84152	42202
666	84283	42078
667	84409	41951
668	84525	41820
669	84656	41696
670	84787	41572
671	84909	41443
672	85045	41322
673	85181	41200
674	85309	41074
675	85431	40946
676	85550	40816
677	85680	40691
678	85802	40563
679	85933	40439
680	86057	40311
681	86182	40184
682	86310	40059
683	86431	39930
684	86556	39803
685	86683	39677
686	86804	39548
687	86946	39429
688	87074	39303
689	87208	39180
690	87338	39055
691	87475	38933
692	87593	38804
693	87712	38674
694	87840	38548
695	87971	38424
696	88093	38296
697	88217	38168
698	88338	38039
699	88466	37914
700	88590	37786
701	88720	37661
702	88859	37540
703	88987	37415
704	89112	37288
705	89233	37159
706	89355	37031
707	89482	36905
708	89610	36779
